product_id,product_name,userID,userName,reviewTitle,positvity,publicScore,category
568,BESTOR® LCD Writing Tablet/pad 12 inches | Electronic Writing Scribble Board for Kids | Kids Learning Toy | Portable Ruff for LCD Paperless Memo Digital Tablet Notepad E-Writer/Writing/Drawing Pad Home/School/Office (Black),4817,Asif Farooque,Most sophisticated product for our mother earth.,0.7671,0.6094751393359612,Computers&Accessories
66,"TP-Link AC750 Wifi Range Extender | Up to 750Mbps | Dual Band WiFi Extender, Repeater, Wifi Signal Booster, Access Point| Easy Set-Up | Extends Wifi to Smart Home & Alexa Devices (RE200)",3062,Anas P V,The Product works as described and is super useful,0.9619,0.609462978372801,Computers&Accessories
686,"E-COSMOS 5V 1.2W Portable Flexible USB LED Light (Colors May Vary, Small) - Set of 2 Pieces",6476,anil-kumar,Product as described,0.0776,0.6080487786760345,Computers&Accessories
509,"HP M270 Backlit USB Wired Gaming Mouse with 6 Buttons, 4-Speed Customizable 2400 DPI, Ergonomic Design, Breathing LED Lighting, Metal Scroll Wheel, Lightweighted / 3 Years Warranty (7ZZ87AA), Black",7739,Antony,awesome design from HP,0.9496,0.6076786304375021,Computers&Accessories
652,Boat A 350 Type C Cable 1.5m(Jet Black),1800,Arvind,एक मजबूत प्रोडक्ट है,0.0277,0.6074774995380499,Computers&Accessories
694,"Synqe Type C to Type C Short Fast Charging 60W Cable Compatible with Samsung Galaxy Z Fold3 5G, Z Flip3 5G, S22 5G, S22 Ultra, S21, S20, S20FE, A52, A73, A53 (0.25M, Black)",7298,Verified Customer,Good small cable,0.6983,0.6074115837012073,Computers&Accessories
274,"AmazonBasics Double Braided Nylon USB Type-C to Type-C 2.0 Cable, Charging Adapter, Smartphone 6 feet, Dark Grey",1989,SEKAR,Very good USB C TO USB C Cable .The one does not entangle to develop fold leading to cracks and cuts,0.7342,0.6064046061369663,Computers&Accessories
222,"Orico 2.5""(6.3cm) USB 3.0 HDD Enclosure Case Cover for SATA SSD HDD | SATA SSD HDD Enclosure High Speed USB 3.0 | Tool Free Installation | Black",1900,pushpendra kumar,Grand price good product,0.811,0.6063647458849735,Computers&Accessories
966,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Radiant Red)",3242,livin sebi,Better..!!,0.5732,0.6061948405130497,Computers&Accessories
31,"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White",6816,Amazon Customer,Valued for money,0.0567,0.6059101697032359,Computers&Accessories
517,"Belkin Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",4033,Amit Benwal,The Very Best,0.8702,0.6056203751451521,Computers&Accessories
585,"EYNK Extra Long Micro USB Fast Charging USB Cable | Micro USB Data Cable | Quick Fast Charging Cable | Charger Sync Cable | High Speed Transfer Android Smartphones V8 Cable (2.4 Amp, 3m,) (White)",6793,Amazon Customer,PERFECT!,0.9342,0.6042987836354552,Computers&Accessories
601,"HUMBLE Dynamic Lapel Collar Mic Voice Recording Filter Microphone for Singing Youtube SmartPhones, Black",6480,krishna,Don't buy,0.0394,0.6042761187964882,Computers&Accessories
155,"FEDUS Cat6 Ethernet Cable, 10 Meter High Speed 550MHZ / 10 Gigabit Speed UTP LAN Cable, Network Cable Internet Cable RJ45 Cable LAN Wire, Patch Computer Cord Gigabit Category 6 Wires for Modem, Router",4793,Manav,Nice one,0.8453,0.6040199273717706,Computers&Accessories
465,"AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case Cover Pouch, for Men & Women, Black- 6 Months Warranty",2948,amazon user,BEST,0.2823,0.603479478862996,Computers&Accessories
369,Zodo 8. 5 inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet),1628,vasanth,Good,0.6098,0.6016463225809083,Computers&Accessories
788,CROSSVOLT Compatible Dash/Warp Data Sync Fast Charging Cable Supported for All C Type Devices (Cable),348,Hrishikesh,Value for money,0.1592,0.5998569157387073,Computers&Accessories
320,"Wayona Nylon Braided 2M / 6Ft Fast Charge Usb To Lightning Data Sync And Charging Cable For Iphone, Ipad Tablet (6 Ft Pack Of 1, Grey)",4512,jaspreet singh,Good quality,0.6446,0.5998173624874297,Computers&Accessories
